State,Area Name,2010 population estimate,2019 population estimate,Births in 2019,Deaths in 2019,International migration 2019,Domestic migration 2019,Net migration 2019,Rate of birth 2019,Rate of death 2019,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Estimate of people of all ages in poverty 2019,Estimated percent of people of all ages in poverty 2019,Estimate of people age 0-17 in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimate of related children age 5-17 in families in poverty 2019,Estimate of median household income 2019,Total male,Total female,Two or more races male,Two or more races female,White male,White female,Black male,Black female,American Indian or Alaska Native male,American Indian or Alaska Native female,Asian male,Asian female,Pacific Islander male,Pacific Islander female,Hispanic male,Hispanic female
NC,New Hanover County,"202,683","234,473","2,197","2,034",126,"1,915","2,041",9.4,8.7,"14,756","26,327","33,248","33,340",13.7,24.5,30.9,31.0,"10,530","33,277","48,832","63,284",6.8,21.3,31.3,40.6,"29,519",13.0,"6,808",16.2,"5,233","57,252",111563,122910,2343,2642,94383,102781,15770,18351,1363,1619,2365,2836,228,261,6826,6784
NC,Northampton County,"22,106","19,483",173,297,7,-97,-90,8.8,15.2,"5,705","4,775","3,075","1,644",37.5,31.4,20.2,10.8,"2,938","5,772","4,218","2,065",19.6,38.5,28.1,13.8,"4,042",21.6,"1,227",37.2,821,"39,777",9537,9946,118,157,4022,4077,5482,5844,108,128,41,56,6,5,282,231
NC,Onslow County,"177,801","197,938","3,951","1,094",-2,"-1,813","-1,815",20.0,5.5,"11,804","24,711","27,650","11,121",15.7,32.8,36.7,14.8,"8,890","31,389","40,395","24,004",8.5,30.0,38.6,22.9,"22,029",12.5,"8,535",17.9,"5,810","50,645",108732,89206,4836,4174,88240,70619,19266,17014,2185,1805,3762,3931,658,556,14658,10863
NC,Orange County,"133,693","148,476","1,158",855,499,-305,194,7.8,5.8,"8,615","11,031","14,085","35,799",12.4,15.9,20.3,51.5,"6,544","12,281","17,432","53,769",7.3,13.6,19.4,59.7,"18,446",13.4,"3,745",13.3,"2,619","74,314",70859,77617,1835,2024,56550,61147,8753,10343,973,1109,6444,7106,104,128,6555,6261
NC,Pamlico County,"13,143","12,726",79,157,2,169,171,6.2,12.4,"2,312","2,921","2,730","1,369",24.8,31.3,29.3,14.7,"1,195","3,086","3,822","1,842",12.0,31.0,38.4,18.5,"1,899",15.9,530,28.4,371,"52,522",6479,6247,104,130,5041,5053,1382,1173,92,85,44,64,28,6,288,254
NC,Pasquotank County,"40,661","39,824",463,370,34,112,146,11.7,9.3,"5,164","6,728","6,690","3,641",23.2,30.3,30.1,16.4,"3,495","8,616","8,866","5,947",13.0,32.0,32.9,22.1,"5,386",14.3,"2,066",24.1,"1,428","51,245",19487,20337,515,533,12017,12179,7259,7976,302,258,426,455,45,42,1136,1164
NC,Pender County,"52,196","63,060",647,556,-2,957,955,10.3,8.9,"6,616","9,574","8,504","3,872",23.2,33.5,29.8,13.6,"5,201","11,764","13,723","11,884",12.2,27.6,32.2,27.9,"7,117",11.5,"2,345",17.1,"1,577","60,405",31400,31660,666,682,26252,26322,4916,5081,608,532,280,401,61,50,2480,2262
NC,Perquimans County,"13,452","13,463",116,146,-8,122,114,8.6,10.9,"2,236","2,631","2,120",983,28.1,33.0,26.6,12.3,"1,325","2,900","3,833","2,034",13.1,28.7,38.0,20.2,"2,007",15.0,647,26.3,462,"50,804",6445,7018,100,131,4970,5281,1466,1731,71,81,43,61,2,5,192,178
NC,Person County,"39,476","39,490",417,448,-8,94,86,10.6,11.4,"6,152","9,318","6,478","2,525",25.1,38.1,26.5,10.3,"3,794","10,498","9,416","4,372",13.5,37.4,33.5,15.6,"5,998",15.4,"2,142",26.8,"1,630","54,553",19093,20397,348,407,13821,14478,5224,5908,260,271,130,134,21,28,969,816
NC,Pitt County,"168,176","180,742","2,053","1,432",101,444,545,11.4,7.9,"15,855","19,921","22,398","20,866",20.1,25.2,28.3,26.4,"11,652","25,786","35,591","35,418",10.7,23.8,32.8,32.7,"33,512",19.2,"9,064",24.1,"6,009","52,961",84780,95962,1943,2054,53045,57188,30293,37241,986,1001,2360,2592,227,213,5951,5779
NC,Polk County,"20,516","20,724",155,308,13,195,208,7.5,14.9,"2,649","3,853","3,636","3,515",19.4,28.2,26.6,25.7,"1,469","3,990","5,809","4,621",9.2,25.1,36.6,29.1,"2,476",12.1,660,20.7,466,"53,405",9923,10801,150,161,9303,10201,545,514,131,121,95,124,7,6,643,580
NC,Randolph County,"141,824","143,667","1,538","1,573",48,414,462,10.7,11.0,"26,259","31,160","20,350","9,681",30.0,35.6,23.3,11.1,"18,383","33,208","31,965","15,552",18.5,33.5,32.3,15.7,"19,996",14.1,"5,951",18.9,"4,292","50,129",70855,72812,1316,1250,64091,65857,5474,5495,1384,1253,1170,1399,107,114,9098,8126
NC,Richmond County,"46,647","44,829",559,556,3,-64,-61,12.5,12.4,"9,192","10,668","6,982","3,028",30.8,35.7,23.4,10.1,"5,852","9,839","10,084","4,808",19.1,32.2,33.0,15.7,"11,234",25.8,"4,303",42.7,"2,626","40,518",21970,22859,506,544,14022,14390,7174,7685,975,975,280,337,54,66,1691,1361
NC,Robeson County,"134,229","130,625","1,697","1,378",58,"-1,636","-1,578",12.9,10.5,"26,156","22,829","16,949","8,524",35.1,30.7,22.8,11.4,"19,384","28,607","25,839","11,719",22.7,33.4,30.2,13.7,"39,748",31.5,"15,167",48.1,"10,544","36,366",62923,67702,1771,1813,20874,21790,15637,17064,27504,29976,624,691,191,149,6355,5693
NC,Rockingham County,"93,645","91,010",871,"1,174",2,696,698,9.6,12.9,"19,751","21,138","15,724","6,857",31.1,33.3,24.8,10.8,"11,344","22,845","21,418","9,864",17.3,34.9,32.7,15.1,"16,504",18.4,"4,572",25.5,"2,864","44,686",43925,47085,900,1009,35158,37140,8656,9882,603,561,376,505,87,88,3076,2684
NC,Rowan County,"138,494","142,088","1,575","1,570",51,906,957,11.1,11.1,"22,278","28,964","22,861","12,242",25.8,33.5,26.5,14.2,"13,881","31,514","33,394","17,900",14.4,32.6,34.5,18.5,"19,063",13.9,"6,075",19.8,"4,010","52,051",70163,71925,1253,1258,57056,58013,12356,13146,945,852,1033,1155,111,124,7213,6187
NC,Rutherford County,"67,819","67,029",662,862,-6,461,455,9.9,12.9,"12,699","14,263","10,583","5,344",29.6,33.3,24.7,12.5,"7,735","15,554","16,045","8,535",16.2,32.5,33.5,17.8,"12,158",18.5,"3,742",28.1,"2,446","44,547",32353,34676,666,711,28752,30829,3643,3906,335,328,272,319,53,51,1612,1613
NC,Sampson County,"63,471","63,531",825,685,128,-78,50,13.0,10.8,"11,974","13,689","8,839","4,294",30.9,35.3,22.8,11.1,"8,793","14,553","13,356","5,828",20.7,34.2,31.4,13.7,"10,471",16.8,"3,954",26.1,"2,694","45,997",31245,32286,749,701,21656,21876,8481,9241,1480,1475,302,341,139,119,6940,6117
NC,Scotland County,"36,160","34,823",436,427,13,53,66,12.5,12.3,"6,453","6,651","5,863","3,596",28.6,29.5,26.0,15.9,"4,676","8,013","7,262","3,663",19.8,33.9,30.8,15.5,"9,168",28.5,"3,644",46.3,"2,602","39,197",17261,17562,478,476,8063,8261,7001,7003,2451,2555,219,224,41,32,664,486
NC,Stanly County,"60,586","62,806",709,715,10,623,633,11.3,11.4,"10,284","13,911","9,573","4,934",26.6,35.9,24.7,12.7,"6,332","14,366","14,965","7,472",14.7,33.3,34.7,17.3,"6,470",10.7,"2,197",16.7,"1,571","58,303",31355,31451,477,477,26768,27107,3976,3814,282,253,719,691,107,81,1487,1299
NC,Stokes County,"47,413","45,591",387,556,22,231,253,8.5,12.2,"8,208","12,269","7,275","2,846",26.8,40.1,23.8,9.3,"5,450","13,443","9,978","4,754",16.2,40.0,29.7,14.1,"5,844",13.0,"1,414",17.0,929,"52,356",22321,23270,292,290,21145,22120,1111,1065,239,231,113,142,17,11,728,779
NC,Surry County,"73,749","71,783",736,874,40,-72,-32,10.2,12.2,"16,161","14,454","12,499","5,904",33.0,29.5,25.5,12.0,"10,449","14,725","16,575","9,186",20.5,28.9,32.5,18.0,"11,338",16.0,"3,328",22.6,"2,130","48,637",34955,36828,500,465,32903,34651,1784,1776,436,412,318,417,45,59,4105,3858
NC,Swain County,"13,978","14,271",143,221,-3,103,100,10.0,15.5,"2,577","2,635","2,314","1,213",29.5,30.2,26.5,13.9,"1,983","2,994","3,036","1,780",20.2,30.6,31.0,18.2,"2,253",16.1,833,27.4,540,"46,075",6841,7430,360,339,4669,4984,165,149,2282,2546,81,89,18,9,428,394
NC,Transylvania County,"33,089","34,385",261,394,-3,349,346,7.6,11.5,"3,673","6,287","6,038","4,975",17.5,30.0,28.8,23.7,"2,811","6,858","7,600","8,368",11.0,26.8,29.6,32.6,"4,388",13.1,"1,056",20.3,699,"55,628",16563,17822,310,342,15660,17050,843,717,207,211,145,180,29,19,636,532
NC,Tyrrell County,"4,407","4,016",31,48,0,-83,-83,7.6,11.8,953,955,620,300,33.7,33.8,21.9,10.6,805,"1,129",835,328,26.0,36.5,27.0,10.6,861,25.4,250,34.9,176,"37,680",2267,1749,35,56,1209,1152,1018,571,31,26,43,55,2,2,169,207
NC,Union County,"201,332","239,859","2,431","1,521",19,"3,115","3,134",10.2,6.4,"15,589","24,308","22,162","16,819",19.8,30.8,28.1,21.3,"15,286","36,207","43,712","52,171",10.4,24.6,29.7,35.4,"17,281",7.3,"5,462",8.8,"3,830","86,138",118155,121704,2475,2425,98539,100519,15803,16934,1456,1448,4795,5201,187,172,13851,13664
NC,Vance County,"45,408","44,535",571,525,32,-177,-145,12.8,11.8,"8,741","9,367","6,317","2,935",31.9,34.2,23.1,10.7,"5,891","11,136","8,572","4,463",19.6,37.0,28.5,14.8,"8,143",18.5,"3,172",31.0,"2,108","40,450",20780,23755,345,360,9919,10739,10635,12794,377,290,192,272,39,45,1919,1756
NC,Wake County,"901,052","1,111,761","12,634","6,210","3,165","10,857","14,022",11.5,5.6,"43,086","71,648","111,718","177,029",10.7,17.8,27.7,43.9,"49,941","107,848","179,118","376,153",7.0,15.1,25.1,52.8,"87,375",8.0,"24,420",9.4,"15,725","84,377",540765,570996,13647,14841,383988,395310,115290,134326,8245,8554,47579,48504,957,1042,57898,57633
NC,Warren County,"21,028","19,731",161,267,-6,27,21,8.1,13.5,"4,426","4,343","3,255","1,575",32.5,31.9,23.9,11.6,"2,680","5,333","4,237","2,300",18.4,36.7,29.1,15.8,"4,083",21.7,"1,133",32.7,810,"37,027",9763,9968,191,210,4184,4088,5088,5307,620,692,62,88,10,11,422,351
NC,Washington County,"13,193","11,580",129,155,-8,-154,-162,11.0,13.3,"2,740","3,400","1,897","1,054",30.1,37.4,20.9,11.6,"1,333","3,059","2,842",941,16.3,37.4,34.8,11.5,"2,438",21.3,825,36.4,587,"40,157",5468,6112,136,95,2782,2952,2700,3124,91,89,36,38,4,5,368,285
NC,Watauga County,"51,061","56,177",381,401,43,121,164,6.8,7.1,"4,395","5,718","5,868","7,958",18.4,23.9,24.5,33.2,"2,927","6,584","8,832","13,409",9.2,20.7,27.8,42.2,"10,793",21.4,"1,005",14.3,703,"51,630",27992,28185,443,521,26954,27191,757,647,324,338,395,515,28,37,1294,967
NC,Wayne County,"122,661","123,131","1,608","1,384",214,-542,-328,13.1,11.2,"16,624","23,704","21,641","10,925",22.8,32.5,29.7,15.0,"12,724","25,058","28,725","15,628",15.5,30.5,35.0,19.0,"22,456",18.6,"8,659",30.2,"5,345","45,634",59972,63159,1550,1479,40067,39868,19250,22403,972,950,1221,1410,200,176,7903,7424
NC,Wilkes County,"69,310","68,412",670,817,52,-50,2,9.8,11.9,"15,481","14,314","10,568","5,135",34.0,31.5,23.2,11.3,"9,795","15,647","16,062","7,796",19.9,31.7,32.6,15.8,"10,228",15.2,"2,830",21.1,"1,887","45,250",33612,34800,513,534,31499,32864,2044,1817,310,323,258,306,53,54,2468,2260
NC,Wilson County,"81,224","81,801",944,944,77,336,413,11.6,11.6,"14,692","15,258","10,871","7,240",30.6,31.7,22.6,15.1,"10,950","17,460","16,191","10,903",19.7,31.5,29.2,19.6,"17,258",21.5,"5,856",32.2,"3,721","42,414",38783,43018,639,692,22701,24117,15536,18453,480,464,692,623,69,120,4685,4134
NC,Yadkin County,"38,409","37,667",379,426,18,218,236,10.1,11.3,"6,970","9,187","6,197","2,562",28.0,36.9,24.9,10.3,"4,726","9,053","9,860","3,117",17.7,33.8,36.9,11.6,"5,189",13.9,"1,821",23.8,"1,247","50,929",18654,19013,277,229,17723,18123,830,755,248,223,114,119,29,34,2275,2063
NC,Yancey County,"17,817","18,069",181,211,-2,227,225,10.1,11.7,"3,667","4,687","2,687","1,668",28.9,36.9,21.1,13.1,"2,046","4,386","4,095","2,678",15.5,33.2,31.0,20.3,"2,537",14.2,710,22.0,502,"47,664",8890,9179,104,93,8629,8967,175,129,116,112,42,45,34,22,548,450
ND,North Dakota,"672,576","762,062","10,536","6,250",951,"-1,267",-316,13.9,8.2,"65,956","113,931","138,855","89,843",16.1,27.9,34.0,22.0,"36,394","130,842","179,075","148,757",7.4,26.4,36.2,30.0,"77,327",10.5,"19,263",10.9,"12,685","67,402",,,,,,,,,,,,,,,,
ND,Adams County,"2,343","2,216",20,28,6,-59,-53,8.9,12.5,318,667,588,312,16.9,35.4,31.2,16.6,90,564,568,420,5.5,34.3,34.6,25.6,232,10.7,63,15.0,44,"55,880",1098,1118,21,19,1054,1061,17,15,20,15,27,45,1,1,24,11
ND,Barnes County,"11,064","10,415",90,126,-6,-69,-75,8.6,12.0,"1,171","2,529","2,372","1,720",15.0,32.5,30.4,22.1,589,"2,409","2,398","2,249",7.7,31.5,31.4,29.4,977,9.9,201,10.0,136,"60,689",5250,5165,92,95,5006,4982,161,94,96,120,79,61,10,9,131,99
ND,Benson County,"6,660","6,832",139,69,1,-197,-196,20.2,10.0,"1,023","1,177","1,276",426,26.2,30.2,32.7,10.9,536,"1,153","1,591",632,13.7,29.5,40.7,16.2,"1,578",23.3,800,33.9,549,"45,709",3478,3354,82,64,1583,1399,29,29,1918,1977,29,13,4,1,153,125
ND,Billings County,784,928,10,5,2,4,6,10.8,5.4,143,206,174,121,22.2,32.0,27.0,18.8,74,233,213,186,10.5,33.0,30.2,26.3,90,9.7,18,9.5,13,"69,528",503,425,5,1,467,411,3,4,3,4,34,6,1,1,10,14
ND,Bottineau County,"6,429","6,282",61,90,4,-91,-87,9.6,14.2,931,"1,478","1,823",741,18.7,29.7,36.7,14.9,376,"1,260","1,813","1,090",8.3,27.8,39.9,24.0,586,9.7,163,12.4,108,"62,904",3239,3043,70,78,3090,2891,53,43,142,154,23,31,5,5,71,70
ND,Bowman County,"3,151","3,024",35,34,0,-45,-45,11.5,11.2,408,735,738,409,17.8,32.1,32.2,17.9,233,738,643,516,10.9,34.6,30.2,24.2,238,8.0,73,9.9,52,"65,411",1519,1505,15,15,1481,1447,11,11,33,54,6,6,3,2,87,78
ND,Burke County,"1,968","2,115",26,17,0,12,12,12.4,8.1,358,588,539,202,21.2,34.9,32.0,12.0,111,416,630,341,7.4,27.8,42.1,22.8,185,8.8,45,8.8,31,"67,545",1105,1010,11,24,1071,980,12,14,21,28,9,11,3,1,26,37
ND,Burleigh County,"81,308","95,626","1,180",759,131,-201,-70,12.4,8.0,"5,412","10,560","15,854","12,810",12.1,23.7,35.5,28.7,"3,656","14,514","22,910","22,873",5.7,22.7,35.8,35.8,"6,304",6.9,"1,475",6.7,892,"73,565",47883,47743,893,895,43810,44289,1743,1124,2561,2536,632,656,86,73,1375,1259
ND,Cass County,"149,778","181,923","2,511","1,116",416,-174,242,13.9,6.2,"6,794","17,102","27,435","23,337",9.1,22.9,36.7,31.3,"5,793","22,448","38,654","44,952",5.2,20.1,34.6,40.2,"20,189",11.4,"3,679",9.2,"2,407","63,977",91821,90102,1919,1835,81199,80069,6721,6237,2039,2070,3803,3589,136,131,2730,2405
ND,Cavalier County,"3,994","3,762",56,50,2,-57,-55,14.8,13.2,734,"1,051","1,223",454,21.2,30.4,35.3,13.1,221,856,"1,112",529,8.1,31.5,40.9,19.5,336,9.1,101,12.0,70,"63,484",1935,1827,28,26,1878,1774,21,11,53,54,12,11,0,4,29,25
ND,Dickey County,"5,287","4,872",61,55,9,-75,-66,12.4,11.2,779,"1,217","1,187",632,20.4,31.9,31.1,16.6,288,925,"1,156",956,8.7,27.8,34.8,28.8,494,10.6,155,13.2,105,"57,490",2452,2420,45,42,2381,2358,41,32,55,41,20,30,2,4,90,78
ND,Divide County,"2,071","2,264",23,22,8,-10,-2,10.2,9.7,341,608,561,231,19.6,34.9,32.2,13.3,115,587,705,320,6.7,34.0,40.8,18.5,239,10.8,73,13.9,52,"61,506",1183,1081,21,24,1115,1042,44,6,18,23,26,32,3,3,32,33
ND,Dunn County,"3,536","4,424",67,17,9,37,46,15.3,3.9,539,771,694,389,22.5,32.2,29.0,16.3,273,"1,027","1,102",649,8.9,33.7,36.1,21.3,428,9.8,131,11.9,84,"75,723",2372,2052,72,57,2053,1792,62,43,273,247,57,28,5,2,126,123
ND,Eddy County,"2,385","2,287",33,37,0,-18,-18,14.4,16.1,474,540,611,308,24.5,27.9,31.6,15.9,175,485,563,435,10.6,29.3,34.0,26.2,222,10.0,72,13.6,48,"54,465",1126,1161,21,20,1054,1102,13,9,67,63,10,5,4,3,58,41
ND,Emmons County,"3,545","3,241",32,49,3,-24,-21,9.8,15.0,"1,066",936,740,383,34.1,30.0,23.7,12.3,311,861,827,444,12.7,35.2,33.9,18.2,434,13.7,110,17.7,76,"53,073",1644,1597,25,17,1608,1552,17,13,31,26,11,23,2,1,14,23
ND,Foster County,"3,337","3,210",38,32,-2,-1,-3,11.8,10.0,564,769,728,508,22.0,29.9,28.3,19.8,224,603,873,620,9.7,26.0,37.6,26.7,276,8.8,72,10.6,50,"54,917",1608,1602,14,16,1577,1553,11,10,24,42,11,14,1,0,48,26
ND,Golden Valley County,"1,680","1,761",20,9,0,-12,-12,11.4,5.1,161,435,429,253,12.6,34.0,33.6,19.8,92,326,524,346,7.1,25.3,40.7,26.9,206,12.1,65,19.6,46,"58,370",875,886,12,11,852,861,14,13,16,19,4,3,1,1,24,35
ND,Grand Forks County,"66,864","69,451",974,526,61,"-1,419","-1,358",13.9,7.5,"4,051","9,100","13,810","10,405",10.8,24.4,37.0,27.8,"2,030","9,184","15,456","14,729",4.9,22.2,37.3,35.6,"8,769",13.2,"1,623",11.2,"1,035","57,388",35652,33799,1069,948,31763,30377,2194,1579,1383,1526,1395,1280,103,82,1654,1594
ND,Grant County,"2,394","2,274",26,24,0,-83,-83,11.2,10.4,544,677,595,228,26.6,33.1,29.1,11.2,173,630,627,315,9.9,36.1,35.9,18.1,337,14.9,102,22.0,68,"41,841",1147,1127,23,22,1118,1097,13,8,33,37,5,9,3,1,25,8
ND,Griggs County,"2,421","2,231",22,31,0,12,12,9.9,13.9,424,650,606,313,21.3,32.6,30.4,15.7,188,586,528,452,10.7,33.4,30.1,25.8,207,9.5,57,12.3,38,"56,527",1139,1092,4,4,1120,1080,7,6,14,8,2,2,0,0,15,14
ND,Hettinger County,"2,478","2,499",36,23,0,-17,-17,14.4,9.2,498,645,551,284,25.2,32.6,27.9,14.4,247,646,769,248,12.9,33.8,40.3,13.0,290,12.5,101,16.4,70,"54,600",1205,1294,32,27,1171,1200,17,21,38,85,8,11,4,4,35,34
ND,Kidder County,"2,435","2,480",26,15,5,12,17,10.5,6.1,555,694,515,218,28.0,35.0,26.0,11.0,163,602,700,315,9.2,33.8,39.3,17.7,348,14.1,89,17.5,63,"50,570",1306,1174,12,10,1287,1144,8,13,10,18,12,9,1,0,68,49
ND,LaMoure County,"4,141","4,046",52,41,3,-45,-42,12.8,10.1,814,"1,116",910,457,24.7,33.8,27.6,13.9,408,854,964,726,13.8,28.9,32.7,24.6,485,12.2,128,14.8,91,"56,059",2088,1958,23,13,2065,1936,21,16,20,17,5,2,0,0,32,37
ND,Logan County,"1,988","1,850",21,25,5,-37,-32,11.2,13.4,575,504,395,219,34.0,29.8,23.3,12.9,166,458,485,271,12.0,33.2,35.1,19.6,237,13.2,77,18.7,55,"51,496",958,892,16,16,945,874,6,10,17,15,6,9,0,1,13,35
ND,McHenry County,"5,392","5,745",64,60,0,-67,-67,11.1,10.4,967,"1,462","1,211",552,23.1,34.9,28.9,13.2,382,"1,391","1,479",886,9.2,33.6,35.7,21.4,685,12.1,188,14.0,124,"59,661",2973,2772,35,31,2920,2726,25,29,52,33,13,15,0,2,58,56
ND,McIntosh County,"2,813","2,497",26,46,0,-49,-49,10.3,18.2,"1,050",667,608,255,40.7,25.9,23.6,9.9,363,660,664,312,18.2,33.0,33.2,15.6,335,13.9,74,16.1,52,"47,349",1227,1270,11,12,1208,1226,9,17,15,17,6,22,0,0,38,27
ND,McKenzie County,"6,359","15,024",264,64,-6,"1,232","1,226",18.4,4.5,763,"1,185","1,123",573,20.9,32.5,30.8,15.7,737,"2,263","2,913","2,053",9.3,28.4,36.6,25.8,"1,107",7.4,408,8.7,283,"86,890",8049,6975,251,259,7100,6046,250,177,842,898,88,101,30,21,813,645
ND,McLean County,"8,962","9,450",111,98,1,-93,-92,11.7,10.3,"1,389","2,043","2,187","1,001",21.0,30.9,33.0,15.1,525,"2,346","2,631","1,448",7.6,33.8,37.9,20.8,876,9.4,239,11.7,154,"67,453",4795,4655,78,113,4390,4258,52,39,405,446,19,24,7,6,131,112
ND,Mercer County,"8,424","8,187",88,81,-4,-82,-86,10.7,9.8,"1,212","1,792","1,945",831,21.0,31.0,33.7,14.4,515,"1,616","2,555","1,300",8.6,27.0,42.7,21.7,624,7.7,151,8.1,103,"83,341",4212,3975,78,61,4057,3785,64,35,151,169,17,44,2,6,117,130
ND,Morton County,"27,469","31,364",434,290,3,159,162,13.9,9.3,"3,270","5,277","5,161","2,812",19.8,31.9,31.2,17.0,"1,775","6,435","7,809","5,883",8.1,29.4,35.7,26.9,"2,416",7.9,690,9.7,467,"68,051",15852,15512,347,328,14976,14562,320,298,760,831,124,136,29,34,828,464
ND,Mountrail County,"7,663","10,545",186,97,29,188,217,17.9,9.3,954,"1,274","1,408",673,22.1,29.6,32.7,15.6,502,"2,223","2,500","1,341",7.6,33.9,38.1,20.4,"1,000",9.5,381,13.3,262,"69,040",5677,4868,158,176,3992,3127,141,105,1668,1777,29,40,7,7,541,402
ND,Nelson County,"3,126","2,879",23,50,25,-3,22,8.0,17.3,513,849,910,481,18.6,30.8,33.1,17.5,179,637,822,545,8.2,29.2,37.7,25.0,315,11.2,82,14.7,56,"56,098",1467,1412,19,38,1416,1373,25,22,40,47,5,9,0,5,75,58
ND,Oliver County,"1,848","1,959",22,6,0,-1,-1,11.3,3.1,282,495,457,168,20.1,35.3,32.6,12.0,112,396,507,271,8.7,30.8,39.4,21.1,207,10.6,84,17.4,59,"72,919",1017,942,12,10,986,900,8,6,34,41,1,5,0,0,27,13
ND,Pembina County,"7,403","6,801",70,84,14,-94,-80,10.2,12.3,"1,192","1,885","1,862",969,20.2,31.9,31.5,16.4,530,"1,615","1,884","1,047",10.4,31.8,37.1,20.6,583,8.8,131,9.6,88,"59,970",3622,3179,161,42,3501,3074,52,30,202,94,25,23,3,0,134,98
ND,Pierce County,"4,359","3,975",41,55,0,-82,-82,10.2,13.7,770,988,"1,056",486,23.3,29.9,32.0,14.7,198,"1,047","1,105",623,6.7,35.2,37.2,21.0,434,11.6,122,13.6,77,"56,753",2021,1954,35,25,1878,1845,30,24,144,99,3,8,1,3,45,35
ND,Ramsey County,"11,451","11,519",174,130,19,-123,-104,15.1,11.3,"1,614","2,047","2,931","1,531",19.9,25.2,36.1,18.8,637,"2,265","2,895","2,078",8.1,28.8,36.8,26.4,"1,361",12.3,444,17.0,318,"60,710",5879,5640,172,205,5065,4934,145,66,731,780,108,64,6,9,199,171
ND,Ransom County,"5,457","5,218",49,73,1,17,18,9.4,14.0,762,"1,449","1,212",642,18.7,35.6,29.8,15.8,344,"1,352","1,393",730,9.0,35.4,36.5,19.1,438,8.7,110,9.6,72,"66,422",2707,2511,43,44,2637,2427,47,30,54,41,12,56,3,2,76,55
ND,Renville County,"2,470","2,327",17,26,0,-22,-22,7.3,11.1,298,616,657,301,15.9,32.9,35.1,16.1,79,573,692,338,4.7,34.1,41.1,20.1,202,8.9,51,9.8,34,"84,986",1221,1106,23,15,1201,1082,19,12,22,14,3,7,1,6,37,27
ND,Richland County,"16,321","16,177",190,126,-7,-109,-116,11.7,7.8,"1,847","3,012","4,464","1,668",16.8,27.4,40.6,15.2,978,"2,856","4,470","2,247",9.3,27.1,42.4,21.3,"1,904",12.4,470,13.5,268,"62,837",8349,7828,140,175,7955,7411,168,113,281,380,75,91,12,12,297,280
ND,Rolette County,"13,939","14,176",226,187,0,-213,-213,15.8,13.1,"1,949","1,970","2,396","1,091",26.3,26.6,32.4,14.7,"1,034","2,142","3,499","1,626",12.5,25.8,42.2,19.6,"3,632",25.9,"1,422",30.1,918,"45,296",7073,7103,212,205,1535,1460,70,54,5654,5760,22,30,5,4,149,144
ND,Sargent County,"3,829","3,898",45,33,3,31,34,11.6,8.5,564,"1,051",995,379,18.9,35.2,33.3,12.7,228,"1,023","1,043",520,8.1,36.4,37.1,18.5,290,7.5,82,9.9,58,"67,551",2078,1820,44,37,1958,1762,76,25,59,46,26,20,4,4,75,56
ND,Sheridan County,"1,321","1,315",12,7,0,-33,-33,9.0,5.3,412,400,344,124,32.2,31.3,26.9,9.7,136,408,386,159,12.5,37.5,35.4,14.6,219,16.7,55,23.5,38,"58,725",663,652,11,13,651,635,4,6,17,17,1,7,1,0,9,9
ND,Sioux County,"4,154","4,230",78,74,2,-156,-154,18.1,17.2,412,615,678,214,21.5,32.0,35.3,11.2,384,762,853,353,16.3,32.4,36.3,15.0,"1,333",32.1,526,35.4,343,"37,133",2118,2112,86,84,401,330,34,39,1761,1816,8,10,2,5,103,113
ND,Slope County,727,750,8,0,1,-20,-19,10.6,0.0,94,196,162,86,17.5,36.4,30.1,16.0,54,155,194,141,9.9,28.5,35.7,25.9,101,13.5,29,19.1,21,"52,695",390,360,2,3,368,352,5,4,18,7,1,0,0,0,27,4
ND,Stark County,"24,199","31,489",506,234,33,293,326,16.2,7.5,"2,870","3,955","4,250","3,177",20.1,27.8,29.8,22.3,"1,937","6,524","7,310","4,565",9.5,32.1,35.9,22.4,"2,622",8.5,716,8.5,490,"68,759",16274,15215,318,305,15191,14272,695,465,448,412,251,355,22,31,997,794
ND,Steele County,"1,975","1,890",20,6,0,-17,-17,10.6,3.2,213,433,580,303,13.9,28.3,37.9,19.8,47,322,511,394,3.7,25.3,40.1,30.9,139,7.4,43,10.5,29,"67,661",976,914,8,13,953,898,8,8,20,17,3,4,0,0,17,25
ND,Stutsman County,"21,100","20,704",223,214,8,-189,-181,10.7,10.3,"2,770","4,959","4,015","2,874",18.9,33.9,27.5,19.7,"1,331","4,938","4,876","3,455",9.1,33.8,33.4,23.7,"2,064",10.8,427,10.5,288,"60,297",10599,10105,167,175,9971,9758,298,175,348,231,140,104,18,18,286,255
